content,score,at,clean_no_stem,clean_stem,skor_base,label_base,skor_domain,label_domain,label,split
"Game nya sangat bagussss, game terbaik yang pernah ada",5,2026-07-26 16:04:45,game nya sangat baguss game terbaik pernah,game nya sangat baguss game baik pernah,7.0,Positif,7.0,Positif,Positif,train
tim busuk teross,1,2026-07-26 16:02:43,tim busuk teross,tim busuk teross,-9.0,Negatif,-9.0,Negatif,Negatif,train
"tiba tiba tekeluar karna notif pas mau masuk ke pertandingan ga bisa, di paksa afk Game aneh",1,2026-07-26 16:01:51,tiba tiba tekeluar notif pas mau masuk pertandingan tidak paksa afk game aneh,tiba tiba tekeluar notif pas mau masuk tanding tidak paksa afk game aneh,5.0,Positif,3.0,Positif,Positif,train
"game bosok, cuma buat orang ingin rilex jadi stres, gak ngotak",1,2026-07-26 16:00:46,game bosok cuma buat orang rilex jadi stres tidak ngotak,game bosok cuma buat orang rilex jadi stres tidak ngotak,-10.0,Negatif,-10.0,Negatif,Negatif,train
jadi rusak anak saya main gm gak jelas ini tolong di hapus aja gem nya dari play store. dari pada nyebar ke anak lain kan mending cukup anak saya aja yang kenak sama gem gak jelas ini saldo saya habis 2juta cuman buat gem gak guna ini tolong la di hapus gem nya,1,2026-07-26 15:58:22,jadi rusak anak main gm tidak jelas hapus aja gem nya play store nyebar anak kan mending cukup anak aja kenak sama gem tidak jelas saldo habis juta cuman buat gem tidak la hapus gem nya,jadi rusak anak main gm tidak jelas hapus aja gem nya play store nyebar anak kan mending cukup anak aja nak sama gem tidak jelas saldo habis juta cuman buat gem tidak la hapus gem nya,-24.0,Negatif,-24.0,Negatif,Negatif,train
gw kasih bintang 5 bukan berarti gw puas sama kerja game lu gw cuman minta di ini game itu di kasih tim yg imbang gw seneng kalau main ml tim imbang dan semoga game lu berkembang pesat di next years,5,2026-07-26 15:58:12,kasih bintang bukan berarti puas sama kerja game kamu cuman minta game kasih tim imbang seneng kalau main ml tim imbang semoga game kamu berkembang pesat next years,kasih bintang bukan arti puas sama kerja game kamu cuman minta game kasih tim imbang neng kalau main ml tim imbang moga game kamu kembang pesat next years,3.0,Positif,3.0,Positif,Positif,train
matching lu benerin ajg,3,2026-07-26 15:57:58,matching kamu benerin ajg,matching kamu benerin ajg,0.0,Negatif,0.0,Negatif,Negatif,train
"game aneh, match making ga seimbang,nerff buff hero ga jelas, cuma menang 3x di bales kalah 10x, pdhl voice line hero nya ""keadilan di tegakan"" ga ada yang adil, match making,winstrike dikit losestrike nya banyak, bot di mana mana, player toxic, kebanyakan orang main, dark sistem nya juga bangat wkw",1,2026-07-26 15:56:36,game aneh match making tidak seimbang nerff buff hero tidak jelas cuma menang x bales kalah x pdhl voice line hero nya keadilan tegakan tidak adil match making winstrike dikit losestrike nya banyak bot mana mana player toxic kebanyakan orang main dark sistem nya bangat wkw,game aneh match making tidak imbang nerff buff hero tidak jelas cuma menang x bales kalah x pdhl voice line hero nya adil tega tidak adil match making winstrike dikit losestrike nya banyak bot mana mana player toxic banyak orang main dark sistem nya bangat wkw,-31.0,Negatif,-31.0,Negatif,Negatif,train
monton kasi tim yang gak ngetrol lah kapan saya ke honor nya,1,2026-07-26 15:56:36,moonton kasi tim tidak ngetrol lah kapan honor nya,moonton kasi tim tidak ngetrol lah kapan honor nya,-12.0,Negatif,-12.0,Negatif,Negatif,test
perbaiki server dan sistem matchmaking,1,2026-07-26 15:56:14,perbaiki server sistem matchmaking,baik server sistem matchmaking,-4.0,Negatif,-4.0,Negatif,Negatif,train
gak pelit menang + drak sistem nya,1,2026-07-26 15:52:29,tidak pelit menang drak sistem nya,tidak pelit menang drak sistem nya,-9.0,Negatif,-5.0,Negatif,Negatif,train
ini sistem montoon gimanasih katanya user roam dapet protection 1× kok tetep turun bintangnya tolong dijelaskan montoon ini gimana,1,2026-07-26 15:51:55,sistem moonton gimanasih katanya user roam dapet protection kok tetep turun bintangnya dijelaskan moonton gimana,sistem moonton gimanasih kata user roam dapet protection kok tetep turun bintang jelas moonton gimana,-5.0,Negatif,-5.0,Negatif,Negatif,train
"jangan pernah main game ini, ini game yang paling tidak adil sejagat raya... ini benar benar bukan permainan yang adil",1,2026-07-26 15:51:21,jangan pernah main game game paling tidak adil sejagat raya benar benar bukan permainan adil,jangan pernah main game game paling tidak adil jagat raya benar benar bukan main adil,-11.0,Negatif,-11.0,Negatif,Negatif,train
jangan download game ini kalo gak mau gila,1,2026-07-26 15:48:01,jangan download game kalau tidak mau gila,jangan download game kalau tidak mau gila,-17.0,Negatif,-17.0,Negatif,Negatif,test
kren,5,2026-07-26 15:48:00,kren,kren,0.0,Positif,0.0,Positif,Positif,test
game haram dikasi tim kayak anak balita capek gua ls Mulu tiap hari gara gara team apacoba kalo ngasih team yg bener Napa sih jgn kyk org bego gini Mulu dapet nya bikin males mending gausah main gua lama lama stress doang dikasi team egois semua,1,2026-07-26 15:46:48,game haram dikasi tim kayak anak balita capek losestreak mulu tiap hari gara gara team apacoba kalau ngasih team bener napa sih jangan kyk org bego gini mulu dapet nya bikin males mending gausah main lama lama stress doang dikasi team egois semua,game haram kasi tim kayak anak balita capek losestreak mulu tiap hari gara gara team apacoba kalau ngasih team bener napa sih jangan kyk org bego gin mulu dapet nya bikin males mending gausah main lama lama stress doang kasi team egois semua,-42.0,Negatif,-42.0,Negatif,Negatif,train
pemilihan musuh ga sesuai dan juga kalo pull bintang pasti curang jaringan di kasi lag parah 1 tim biar kalah war. selama gua main game mobail ni game paling busuk yg aku mainin . ini devilover nya niat ga sih bikin pemain nya betah. tolong di perbaiki.,1,2026-07-26 15:46:42,pemilihan musuh tidak sesuai kalau pull bintang curang jaringan kasi lag parah tim kalah war selama main game mobail ni game paling busuk aku mainin devilover nya niat tidak sih bikin pemain nya betah perbaiki,pilih musuh tidak sesuai kalau pull bintang curang jaring kasi lag parah tim kalah war lama main game mobail ni game paling busuk aku mainin devilover nya niat tidak sih bikin main nya betah baik,-45.0,Negatif,-48.0,Negatif,Negatif,train
"tolong tambahkah versi lite, karena game nya udah mulai berat untuk spek low device",2,2026-07-26 15:45:42,tambahkah versi lite game nya udah mulai berat spek low device,tambah versi lite game nya udah mulai berat spek low device,3.0,Positif,3.0,Positif,Positif,train
server sering down buruk sering bug pada jaringan,1,2026-07-26 15:44:46,server sering down buruk sering bug jaringan,server sering down buruk sering bug jaring,-3.0,Negatif,-5.0,Negatif,Negatif,train
lag parah bikin emosi aja,1,2026-07-26 15:44:20,lag parah bikin emosi aja,lag parah bikin emosi aja,-5.0,Negatif,-8.0,Negatif,Negatif,train
stuck dilogo truss !!!!!!! gajelas moonton,1,2026-07-26 15:42:22,stuck dilogo truss gajelas moonton,stuck logo truss gajelas moonton,0.0,Negatif,0.0,Negatif,Negatif,train
"game gk bener, game merusak moral, game pembodohan, main game untuk hiburan tapi di kasih team yang gk bener melulu",1,2026-07-26 15:39:17,game tidak bener game merusak moral game pembodohan main game hiburan kasih team tidak bener melulu,game tidak bener game rusak moral game bodoh main game hibur kasih team tidak bener melulu,-3.0,Negatif,-3.0,Negatif,Negatif,test
"aku gak tau ini di aku aja atau yang lain juga. aku tuh main setiap loading 80% kalau udah muncul notif loading"" gtu gak bakal gerak stack aja di 80, coba relog tetap gak bisa masuk game alhasil afk dan gara"" bug lag ini wr ku hancur total. yang paling parah lusa kemarin aku bug pas mau match game, loading"" di lobby coba relog tetap loading jadi ku coba download ulang berharap bug nya udah gak ada. tapi barusan aku baru mau main habis download tapi malah buggggg loading game lagi ajggggggg capek",1,2026-07-26 15:38:06,aku tidak tau aku aja aku tuh main loading kalau udah muncul notif loading gtu tidak bakal gerak stack aja coba relog tetap tidak masuk game alhasil afk gara bug lag winrate ku hancur total paling parah lusa kemarin aku bug pas mau match game loading lobby coba relog tetap loading jadi ku coba download ulang berharap bug nya udah tidak barusan aku baru mau main habis download malah bugg loading game ajgg capek,aku tidak tau aku aja aku tuh main loading kalau udah muncul notif loading gtu tidak bakal gerak stack aja coba relog tetap tidak masuk game alhasil afk gara bug lag winrate ku hancur total paling parah lusa kemarin aku bug pas mau match game loading lobby coba relog tetap loading jadi ku coba download ulang harap bug nya udah tidak barusan aku baru mau main habis download malah bugg loading game ajgg capek,8.0,Positif,-3.0,Negatif,Negatif,test
"pliss 10 kali mi sya kalah terus, baru nd di ksh menang² .... ksh tim ndd yang beres",1,2026-07-26 15:37:06,pliss kali mi sya kalah terus baru nd ksh menang ksh tim ndd beres,pliss kali mi sya kalah terus baru nd ksh menang ksh tim ndd beres,-9.0,Negatif,-5.0,Negatif,Negatif,train
"ml sepi kah? gw setiap main ketemu bot ml trus aneh banget padahal main rank, yang lebih anehnya lagi tim musuh gada bot ml nya ini kenapa dah, mending kalo bot nya jago bot nya ga bisa main ga ngerti mundur, war terus padahal kalah gold",1,2026-07-26 15:34:17,ml sepi main ketemu bot ml trus aneh banget padahal main rank lebih anehnya tim musuh gada bot ml nya mending kalau bot nya jago bot nya tidak main tidak ngerti mundur war terus padahal kalah gold,ml sepi main ketemu bot ml trus aneh banget padahal main rank lebih aneh tim musuh gada bot ml nya mending kalau bot nya jago bot nya tidak main tidak ngerti mundur war terus padahal kalah gold,-29.0,Negatif,-29.0,Negatif,Negatif,train
sistem macth makingnya sampah,1,2026-07-26 15:34:01,sistem macth makingnya sampah,sistem macth making sampah,-8.0,Negatif,-8.0,Negatif,Negatif,train
game rusak main 3 kali kalah kalo ngasih tim yang ngotak lah anjir,1,2026-07-26 15:33:46,game rusak main kali kalah kalau ngasih tim ngotak lah anjir,game rusak main kali kalah kalau ngasih tim ngotak lah anjir,-9.0,Negatif,-9.0,Negatif,Negatif,train
"matchmaking dibenerin lah moontonnnnnnn, kasih tim yang seimbang rank tertingginyaaaa",1,2026-07-26 15:32:24,matchmaking dibenerin lah moontonn kasih tim seimbang rank tertingginyaa,matchmaking dibenerin lah moontonn kasih tim imbang rank tertingginyaa,-3.0,Negatif,-3.0,Negatif,Negatif,train
saya sangat senang bermain game ini,5,2026-07-26 15:32:22,sangat senang bermain game,sangat senang main game,1.0,Positif,1.0,Positif,Positif,train
game kikir,1,2026-07-26 15:32:20,game kikir,game kikir,6.0,Positif,6.0,Positif,Positif,train
"ping hijau tapi lag parah, buka app lain sinyal normal (aku pake wifi), apalagi kalo lagi war ping hijau tapi lag banget, pas udahan war nya atau ke kill musuh game nya kembali normal ngga lah sama sekali, tolong di perbaiki",2,2026-07-26 15:31:11,ping hijau lag parah buka app sinyal normal aku pake wifi kalau war ping hijau lag banget pas udahan war nya kill musuh game nya normal ngga lah sama sekali perbaiki,ping hijau lag parah buka app sinyal normal aku pake wifi kalau war ping hijau lag banget pas udahan war nya kill musuh game nya normal ngga lah sama sekali baik,1.0,Positif,-5.0,Negatif,Negatif,train
"Hello Moonton, I would like to offer a suggestion to improve the game. Please remove the account recovery feature, as accounts are easily stolen via MLBB Customer Service, or alternatively, limit the maximum number of times a Moonton account can be switched to just three.",2,2026-07-26 15:30:29,hello moonton i would like to offer a suggestion to improve the game please remove the account recovery feature as accounts are easily stolen via mlbb customer service or alternatively limit the maximum number of times a moonton account can be switched to just three,hello moonton i would like to offer a suggestion to improve the game please remove the account recovery feature as accounts are easily stolen via mlbb customer service or alternatively limit the maximum number of times a moonton account can be switched to just three,1.0,Positif,1.0,Positif,Positif,train
jaringan yg bener jangan sengaja dirusak giliran posisi lagi menag eror ga stabil tapi kalo posisi kalah ga pernah ngeleg !!! kasih bener dong sistemnya jangan lawannya kelewat pinter giliran timnya sendiri rusak + bot,1,2026-07-26 15:29:16,jaringan bener jangan sengaja dirusak giliran posisi menag eror tidak stabil kalau posisi kalah tidak pernah ngeleg kasih bener dong sistemnya jangan lawannya kelewat pinter giliran timnya sendiri rusak bot,jaring bener jangan sengaja rusak gilir posisi menag eror tidak stabil kalau posisi kalah tidak pernah ngeleg kasih bener dong sistem jangan lawan lewat pinter gilir tim sendiri rusak bot,-18.0,Negatif,-18.0,Negatif,Negatif,train
tim musuh jago sedangkan tim ku gak bisa maen,1,2026-07-26 15:28:43,tim musuh jago tim ku tidak maen,tim musuh jago tim ku tidak maen,-17.0,Negatif,-17.0,Negatif,Negatif,train
Game haram di main kan bikin emosi,1,2026-07-26 15:28:11,game haram main kan bikin emosi,game haram main kan bikin emosi,1.0,Positif,1.0,Positif,Positif,test
sistem matchmaking lu sistem judi,1,2026-07-26 15:28:06,sistem matchmaking kamu sistem judi,sistem matchmaking kamu sistem judi,-8.0,Negatif,-8.0,Negatif,Negatif,test
saya suka,5,2026-07-26 15:27:34,suka,suka,2.0,Positif,2.0,Positif,Positif,train
"gem perusak hp,sinyal server nya sering hilang ,main pata pata ,,paslagi war ilang jaringan ,,sedangkan penggunaan aplikasi lain kgk ada ilang sinyal ,,,makin gedek ajah penggunaan RM ini gem,dari 500 mb,2 gb ,sampai 9gb,,,tinggal ,unstal apa guna main ML ,dapat apa apa kgk dapat emos iya",1,2026-07-26 15:27:13,gem perusak handphone sinyal server nya sering hilang main pata pata paslagi war ilang jaringan penggunaan aplikasi kgk ilang sinyal makin gedek ajah penggunaan rm gem mb gb gb tinggal unstal apa main ml apa apa kgk emos iya,gem usak handphone sinyal server nya sering hilang main pata pata paslagi war ilang jaring guna aplikasi kgk ilang sinyal makin gedek ajah guna rm gem mb gb gb tinggal unstal apa main ml apa apa kgk emos iya,-26.0,Negatif,-26.0,Negatif,Negatif,train
"game bdh, baru win 5 di ksi tim pekok",1,2026-07-26 15:26:52,game bdh baru win ksi tim pekok,game bdh baru win ksi tim kok,-2.0,Negatif,-2.0,Negatif,Negatif,train
"kalau gabisa misahin darksystem wr 40 40 60/legend mawi honor, mending system block player nya jangan di batasin moonton tlol, mau block orang harus lepas block darksystem yng lainnya sama ajaa tlol gada bedanya, kayak game lain noh system block nya gak terbatas biar ga ketemu darksystem secara terus meneruss, syatem bobrok gabisa nyelesai in masalah playerny minimal jangan mempersulit",1,2026-07-26 15:24:12,kalau gabisa misahin darksystem winrate legend mawi honor mending system block player nya jangan batasin moonton tlol mau block orang lepas block darksystem yng lainnya sama ajaa tlol gada bedanya kayak game noh system block nya tidak terbatas tidak ketemu darksystem terus meneruss syatem bobrok gabisa nyelesai in masalah playerny minimal jangan mempersulit,kalau gabisa misahin darksystem winrate legend mawi honor mending system block player nya jangan batasin moonton tlol mau block orang lepas block darksystem yng lain sama ajaa tlol gada beda kayak game noh system block nya tidak batas tidak ketemu darksystem terus meneruss syatem bobrok gabisa nyelesai in masalah playerny minimal jangan sulit,-46.0,Negatif,-46.0,Negatif,Negatif,train
permainan bagus walau kadang berat sebelah🤣🤣 asik buat waktu santai,5,2026-07-26 15:20:58,permainan bagus kadang berat sebelah asik buat waktu santai emoji_netral emoji_netral,main bagus kadang berat belah asik buat waktu santai emoji_netral emoji_netral,4.0,Positif,9.0,Positif,Positif,test
kekurangan player yang toleransi kebanyakan player sering mementingkan diri sendiri tanpa sadar bahwa ini adalah game yang mengandalkan tim dear player for monton,1,2026-07-26 15:20:19,kekurangan player toleransi kebanyakan player sering mementingkan diri sendiri tanpa sadar game mengandalkan tim dear player for moonton,kurang player toleransi banyak player sering penting diri sendiri tanpa sadar game andal tim dear player for moonton,1.0,Positif,1.0,Positif,Positif,train
"tolong diperbaiki masalah jaringan , saat diluar game jaringan bagus,tp saat mulai game atau war jaringan jd jelek dan tidak stabil.",4,2026-07-26 15:18:43,diperbaiki masalah jaringan diluar game jaringan bagus mulai game war jaringan jadi jelek tidak stabil,baik masalah jaring luar game jaring bagus mulai game war jaring jadi jelek tidak stabil,-18.0,Negatif,-13.0,Negatif,Negatif,train
kadang ngelag padahal jaringan hijau suka ga enak di gemplay nya jadi kacauu parah padahal pake wifi baik baik aja tiba tiba ga bisa.di pencet ah kacau,2,2026-07-26 15:18:37,kadang ngelag padahal jaringan hijau suka tidak enak gemplay nya jadi kacauu parah padahal pake wifi baik baik aja tiba tiba tidak pencet ah kacau,kadang ngelag padahal jaring hijau suka tidak enak gemplay nya jadi kacauu parah padahal pake wifi baik baik aja tiba tiba tidak pencet ah kacau,-3.0,Negatif,-8.0,Negatif,Negatif,train
"matchmaking yg payah , jauh dari kata adil , hanya yg dipikir event doang",1,2026-07-26 15:18:32,matchmaking payah jauh kata adil dipikir event doang,matchmaking payah jauh kata adil pikir event doang,-4.0,Negatif,-4.0,Negatif,Negatif,train
ngenthod,5,2026-07-26 15:18:25,ngenthod,ngenthod,0.0,Positif,0.0,Positif,Positif,train
waw game yang sangat anj*g memberikan kita tim yang sangat bisa di andalkan aku suka game gobl*k satu ini developer adil dan bngs*t,2,2026-07-26 15:18:25,waw game sangat anj g memberikan tim sangat andalkan aku suka game gobl k satu developer adil bngs t,waw game sangat anj g beri tim sangat andal aku suka game gobl k satu developer adil bngs t,2.0,Positif,2.0,Positif,Positif,train
gooodd,5,2026-07-26 15:18:22,goodd,goodd,0.0,Positif,0.0,Positif,Positif,train
"skarang mobile legends parah main solo ketemu trio atau duo, sangat membosankan... perbaikilah kalo player solo ketemu solo biar ver",1,2026-07-26 15:17:41,skarang mobile legends parah main solo ketemu trio duo sangat membosankan perbaikilah kalau player solo ketemu solo ver,skarang mobile legends parah main solo ketemu trio duo sangat bosan baik kalau player solo ketemu solo ver,-3.0,Negatif,-3.0,Negatif,Negatif,test
"apaan dah masa wifi gua lancar tapi pas main ml dapet sinyal di 200 San, udah muak gua,main yang lain aja lancar apalagi Genshin impact sinyal nya lancar"" aja, sebisanya update depan di perbaiki saya udah 3 hari sinyal dapetnya gitu"" terus",2,2026-07-26 15:15:06,apaan masa wifi lancar pas main ml dapet sinyal san udah muak main aja lancar genshin impact sinyal nya lancar aja sebisanya update depan perbaiki udah hari sinyal dapetnya gitu terus,apa masa wifi lancar pas main ml dapet sinyal san udah muak main aja lancar genshin impact sinyal nya lancar aja bisa update depan baik udah hari sinyal dapetnya gitu terus,4.0,Positif,4.0,Positif,Positif,test
perusahaan gak guna sok bikin game,1,2026-07-26 15:14:26,perusahaan tidak sok bikin game,usaha tidak sok bikin game,0.0,Negatif,0.0,Negatif,Negatif,train
bheee bheeee good,5,2026-07-26 15:13:51,bhee bhee good,bhee bhee good,5.0,Positif,5.0,Positif,Positif,train
moonton kalau kasih tim yang bener lah capek gua main exp dikasih tim yang gak mau rotasi sama sekali padahal dah jelas kalah level gua plisss lah lain kali match in Ama yang bener bosen guanya gitu gitu terus tim kagak faham rotasi exp juga butuh dirotasiin gua pen rotasi aja susah kalo dah kalah level pliss lah moonton muak banget gua kasih tim tuh yang bener lah Jan kasih jungler retri Indomaret juga muak gua ngeselin banget dah ketemu player kek gitu apa lagi gold lanenya yg gak bisa main,2,2026-07-26 15:12:54,moonton kalau kasih tim bener lah capek main exp dikasih tim tidak mau rotasi sama sekali padahal jelas kalah level pliss lah kali match in ama bener bosen guanya gitu gitu terus tim kagak faham rotasi exp butuh dirotasiin pen rotasi aja susah kalau kalah level pliss lah moonton muak banget kasih tim tuh bener lah jan kasih jungler retri indomaret muak ngeselin banget ketemu player kek gitu apa gold lanenya tidak main,moonton kalau kasih tim bener lah capek main exp kasih tim tidak mau rotasi sama sekali padahal jelas kalah level pliss lah kali match in ama bener bosen gua gitu gitu terus tim kagak faham rotasi exp butuh dirotasiin pen rotasi aja susah kalau kalah level pliss lah moonton muak banget kasih tim tuh bener lah jan kasih jungler retri indomaret muak ngeselin banget ketemu player kek gitu apa gold lanenya tidak main,-58.0,Negatif,-58.0,Negatif,Negatif,train
gem nya seru tapi kenapa monton tim musuh setara pro pelayer tapi timkita kaya baru pegang hp sumpah ga adil banget yang punya darah tinggi setres jangan main gem ini lah saran gue,2,2026-07-26 15:10:17,gem nya seru moonton tim musuh setara pro pelayer timkita kaya baru pegang handphone sumpah tidak adil banget punya darah tinggi setres jangan main gem lah saran,gem nya seru moonton tim musuh tara pro layer timkita kaya baru pegang handphone sumpah tidak adil banget punya darah tinggi tres jangan main gem lah saran,-10.0,Negatif,-7.0,Negatif,Negatif,train
"game bozok, internet bozok, pengaturan bozok, dibuat kalah teruzz, males maen...",1,2026-07-26 15:10:08,game bozok internet bozok pengaturan bozok dibuat kalah teruzz males maen,game bozok internet bozok atur bozok buat kalah teruzz males maen,-3.0,Negatif,-3.0,Negatif,Negatif,train
dari system jangan tolol banget kek,1,2026-07-26 15:06:14,system jangan tolol banget kek,system jangan tolol banget kek,3.0,Positif,3.0,Positif,Positif,train
banyak bet DARKSISTEM nya,3,2026-07-26 15:04:45,banyak bet darksistem nya,banyak bet darksistem nya,0.0,Negatif,0.0,Negatif,Negatif,train
game hebat,5,2026-07-26 15:00:22,game hebat,game hebat,2.0,Positif,2.0,Positif,Positif,test
"matchmakingnya jelek banget asli, kalah menang terus, giliran menang 3x kalahnya juga 3x, yang bener aja lah moonton. udah banyak yang ngasih kritik dan saran soal matchmaking tetep aja ga dibenerin, bikin stress aja ini game. sumpah ngeselin, nyebelin, sistem matchmaking jelek.",1,2026-07-26 15:00:12,matchmakingnya jelek banget asli kalah menang terus giliran menang x kalahnya x bener aja lah moonton udah banyak ngasih kritik saran soal matchmaking tetep aja tidak dibenerin bikin stress aja game sumpah ngeselin nyebelin sistem matchmaking jelek,matchmakingnya jelek banget asli kalah menang terus gilir menang x kalah x bener aja lah moonton udah banyak ngasih kritik saran soal matchmaking tetep aja tidak dibenerin bikin stress aja game sumpah ngeselin nyebelin sistem matchmaking jelek,-32.0,Negatif,-24.0,Negatif,Negatif,train
moonton emang pelit bjirr kasih musuhnya yg susah asalkan tim gw masih epik semua udah dark sistem pula makanya jng mainin game ini atau kalian akan stress kaya gw sekian terimakasih,1,2026-07-26 15:00:06,moonton emang pelit bjirr kasih musuhnya susah asalkan tim epik semua udah dark sistem makanya jng mainin game kalian stress kaya sekian terimakasih,moonton emang pelit bjirr kasih musuh susah asal tim epik semua udah dark sistem makanya jng mainin game kalian stress kaya sekian terimakasih,-14.0,Negatif,-14.0,Negatif,Negatif,test
Game tololl,1,2026-07-26 15:00:02,game tololl,game tololl,2.0,Positif,2.0,Positif,Positif,test
seru banget kalo lawan nya seimbang Ama tim,5,2026-07-26 14:59:19,seru banget kalau lawan nya seimbang ama tim,seru banget kalau lawan nya imbang ama tim,-7.0,Negatif,-4.0,Negatif,Negatif,train
"6×main menang 1×, emang gokil, dapet tim pada buta, data masih banyak juga pingnya naik turun, kocak.",1,2026-07-26 14:56:33,main menang emang gokil dapet tim buta data banyak pingnya naik turun kocak,main menang emang gokil dapet tim buta data banyak pingnya naik turun kocak,-12.0,Negatif,-8.0,Negatif,Negatif,train
woi monton kapan kasih win monton ud 2 minggu wlwl,2,2026-07-26 14:55:42,woi moonton kapan kasih win moonton ud minggu wlwl,woi moonton kapan kasih win moonton ud minggu wlwl,1.0,Positif,1.0,Positif,Positif,train
"tolong dong moonton sinyal nya di perbaiki dulu, saya di loby sinyal nya normal, trus di in game sinyal berubah drastis sampe merah merah sinyal nya, jadi tolong moonton perbaiki sinyal nya, trus ada lagi soal mactmaking tim nya gak seimbang, di tim musuh pada bagus, lah ini di kasih tim dark sistem, dah gitu aja sinyal sinyal sinyal perbaiki yah.",5,2026-07-26 14:54:44,dong moonton sinyal nya perbaiki dulu loby sinyal nya normal trus in game sinyal berubah drastis sampe merah merah sinyal nya jadi moonton perbaiki sinyal nya trus soal mactmaking tim nya tidak seimbang tim musuh bagus lah kasih tim dark sistem gitu aja sinyal sinyal sinyal perbaiki yah,dong moonton sinyal nya baik dulu loby sinyal nya normal trus in game sinyal ubah drastis sampe merah merah sinyal nya jadi moonton baik sinyal nya trus soal mactmaking tim nya tidak imbang tim musuh bagus lah kasih tim dark sistem gitu aja sinyal sinyal sinyal baik yah,-22.0,Negatif,-17.0,Negatif,Negatif,test
selalu dikasih tim drak sistem,1,2026-07-26 14:52:44,selalu dikasih tim drak sistem,selalu kasih tim drak sistem,-6.0,Negatif,-6.0,Negatif,Negatif,train
"game apaan nih masa lose sampe 7X gw roam nya suport terus pliss monton hapus Hero anjela,sama floryn pliss itu Hero gak guna bgt sumpah",1,2026-07-26 14:52:23,game apaan nih masa lose sampe x roam nya suport terus pliss moonton hapus hero anjela sama floryn pliss hero tidak banget sumpah,game apa nih masa lose sampe x roam nya suport terus pliss moonton hapus hero anjela sama floryn pliss hero tidak banget sumpah,-8.0,Negatif,-8.0,Negatif,Negatif,train
gem nya sangat seru dan menarik setiap saat ini,5,2026-07-26 14:50:44,gem nya sangat seru menarik,gem nya sangat seru tarik,-2.0,Negatif,1.0,Positif,Positif,train
game apa ini login pakai akun google yang sama aja ngga bisa alasannya (akun tidak terkait dengan game) padahal kemaren segala proteksi keamanan akun di aktifkan,1,2026-07-26 14:50:27,game apa login pakai akun google sama aja ngga alasannya akun tidak terkait game padahal kemaren segala proteksi keamanan akun aktifkan,game apa login pakai akun google sama aja ngga alas akun tidak kait game padahal kemaren segala proteksi aman akun aktif,1.0,Positif,1.0,Positif,Positif,test
game taiiii maen nge lag muluu.. pakai WiFi atau data juga sama aja,1,2026-07-26 14:50:21,game taii maen nge lag muluu pakai wifi data sama aja,game taii maen nge lag muluu pakai wifi data sama aja,6.0,Positif,3.0,Positif,Positif,train
"game gila, ngasi time tidak setara dengan musuh",1,2026-07-26 14:49:56,game gila ngasi time tidak setara musuh,game gila ngasi time tidak tara musuh,-15.0,Negatif,-15.0,Negatif,Negatif,train
sampah,1,2026-07-26 14:48:14,sampah,sampah,-4.0,Negatif,-4.0,Negatif,Negatif,test
malas main game ini dapat Drake sistem mlu,5,2026-07-26 14:47:30,malas main game drake sistem mlu,malas main game drake sistem mlu,-6.0,Negatif,-6.0,Negatif,Negatif,train
game pembuatt stresssssss bukann pembuat gilaaaaaa kalo ga timnya aneh sinyalnya full merah,1,2026-07-26 14:45:01,game pembuatt stress bukann pembuat gilaa kalau tidak timnya aneh sinyalnya full merah,game pembuatt stress bukann buat gilaa kalau tidak tim aneh sinyal full merah,-8.0,Negatif,-8.0,Negatif,Negatif,train
terlalu oferpoworrrrrrrrr,5,2026-07-26 14:43:34,terlalu oferpoworr,terlalu oferpoworr,-3.0,Negatif,-3.0,Negatif,Negatif,train
bagus tapi kesal banyak dark sistem,5,2026-07-26 14:42:57,bagus kesal banyak dark sistem,bagus kesal banyak dark sistem,-7.0,Negatif,-2.0,Negatif,Negatif,train
"game apa ini, matchmakingnya ga seimbang saya solo ketemu partyan terus, belum lagi tim yg ga jelas dan jaringan yg merah ketika akan menang alhasil kekombek terus 👎🏼cuih",1,2026-07-26 14:42:05,game apa matchmakingnya tidak seimbang solo ketemu partyan terus belum tim tidak jelas jaringan merah menang alhasil kekombek terus cuih emoji_negatif emoji_lain,game apa matchmakingnya tidak imbang solo ketemu partyan terus belum tim tidak jelas jaring merah menang alhasil kekombek terus cuih emoji_negatif emoji_lain,-3.0,Negatif,1.0,Positif,Positif,train
game dongo matchmaking tidak jelas,1,2026-07-26 14:41:34,game dongo matchmaking tidak jelas,game dongo matchmaking tidak jelas,-1.0,Negatif,-1.0,Negatif,Negatif,test
